id,isbn,name,author,publishing,publisheddate,price,pages,description
12,9.78704E+12,电路与电工技术,陆国和编,高等教育出版社,2001年1月1日,18.5,18,《电路与电工技术》分为三大部分：直流电路与暂态分析；交流电路；电工技术。同时对继电-接触器控制线路的构成作了详尽介绍和阐述。
13,9.78704E+12,计算机网络基础与局域网构建,姜波,高等教育出版社,Apr-06,23.2,23,"《计算机网络基础与局域网构建》共分9章。第1章主要介绍了计算机单机硬件系统，内容主要包括计算机硬件系统组成、计算机的组装、常用维护工具等；第2、3章主要介绍了计算机网络基础知识，内容主要包括计算机网络基本概念、组成，数据通信基本概念、OSI、TCP／IP参考模型和局域网常用通信协议；第4—6章，介绍了计算机局域网的组网技术，内容主要包括局域网的构建、局域网中所使用的传输介质、网络设备以及在使用过程中应注意的事项。本部分内容操作性、实用性较强，是《计算机网络基础与局域网构建》的重点。第7、8章简单介绍了Internet和Intrant的基本知识及网络安全基础。第9章安排了局域网构建实训，目的是提高学生的动手能力，并通过实践进一步理解并掌握网络基础知识及基本技术。
《计算机网络基础与局域网构建》采用“就业导向的职业能力系统化课程开发方法(VOCSCUM)”进行开发，是国家教育科学“十五”规划国家级课题“IT领域高职课程结构改革与教材改革的研究与实验”的研究成果之一，作为“高等职业教育电子信息类专业‘双证课程’培养方案配套教材”之一，同时也是“CEAC国家信息化培训认证”的指定教材，具有鲜明的特色，可作为高职高专院校电子信息类专业教材。 《计算机网络基础与局域网构建》是“网络系统配置”职业核心能力课程的第一阶段课程，主要涉及计算机网络基础及局域网构建技术的应用，《计算机网络基础与局域网构建》图文并茂地介绍了计算机硬件系统、计算机网络和数据通信的基础知识、局域网基本概念、局域网中所使用的传输介质、网络设备和组网技术以及使用中应注意事项、Internet和Intrant、网络安全等方面的相关概念及知识。 《计算机网络基础与局域网构建》适合于高等职业学校、高等专科学校、成人高等院校、本科院校举办的职业技术学院电子信息类专业教学使用，也可供示范性软件职业技术学院、继续教育学院、民办高校、技能型紧缺人才培养使用。"
14,9.78704E+12,国际投资,杜奇华,高等教育出版社,Aug-06,29,29,国际投资（高等学校国际经济与贸易专业主要课程教材），ISBN：9787040199215，作者：杜奇华
15,9.78704E+12,网络设备使用与维护,张凌杰,高等教育出版社,2013,26.9,26,本书全面系统地介绍了网络设备的配置、使用、故障诊断与维护的实战方法和操作技巧。主要内容包括网络互连设备、交换机配置与应用、路由器配置与应用、网络安全与管理技术、无线局域网搭建、网络故障诊断、网络设备维护。
16,9.7871E+12,意汉词典,北京外国语学院《意汉词典》组 编,商务印书馆,Aug-85,148,148,《意汉词典》是一部综合性中型语言词典，共收词五万余条。除一般词汇外，还收有社会科学及自然科学各学科常用词语，并尽量收集了新词和新义。各词条释义国求简练、确切与齐全。在部分词条中，收有一定数量的词组、成语、谚语及例证。正文后编有《意大利常用缩略语》、《意大利语动词变位表》等五种附录。
17,9.7871E+12,俄国工人阶级状况,[俄] 恩·弗列罗夫斯基（瓦·瓦·别尔维）,商务印书馆,Oct-84,21.8,21,《俄国工人阶级状况》描述了十九世纪六十至七十年代俄国劳动群众的生活状况，地主和资本家对劳动群众的贪得无厌的剥削，对农奴“解放”后的俄国经济状况作了真实的描绘，贯穿了对剥削阶级的强烈仇恨和对工人、农民的极其深刻的同情，反映了非贵族出身的知识分子的愿望和理想。
18,9.7871E+12,罗马史（上卷）,[古罗马] 阿庇安,商务印书馆,Feb-79,20.3,20,上卷内容大体包括西班牙史、汉尼拔战争史、布匿战争史、伊里亚史、叙利亚史、米特拉达梯战争史和其他一些历史片断。作者以如椽之笔纵横古今，生动地叙述了罗马国家的起源、地中海周围各个民族的形成、政治经济制度、风土人情以及罗马征服这些民族的过程，实际上简要叙述了罗马帝国形成的全部历史。
19,9.7871E+12,休谟经济论文选,[英]大卫·休谟,商务印书馆,1984/10/1,8.3,8,"本书作者为英国哲学家、历史学家、经济学家，是英国古典政治经济学产生时期的代表人物之一。
作者在本书中提出了著名的货币数量论。他认为，货币是商品和劳动的代表，是决定价格的手段;商品价格由流通中的货币数量决定，流通中的货币数量的增加必然引起商品价格成比例的上涨。这一理论是反重商主义的，它适应了十八世纪中叶资产阶级的要求。书中还论述了商品、利息、赋税、国际贸易、人口等问题。"
20,9.7871E+12,古汉语语法研究论文集,何乐士,商务印书馆,May-00,20,20,本书为作者多年来在古汉语语法研究领域的论文精选，共收录有代表性的论文18篇，大多反映了作者潜心研究的最高水平。内容包括专题讨论、历史比较研究、专书语法研究几方面，涉及《左传》、《史记》、《世说新语》等专书，以及古汉语虚词体系的方方面面。作者以专书为对象，以穷尽式的研究方法和历史比较的科学原则对古代有代表性的典籍做出了深入、细致的调查研究、为学界深入探讨一些语法问题奠定了扎实的基础，提供了有益的参考。
21,9.7871E+12,汉语复句研究,邢福义,商务印书馆,Jan-01,33,33,这本《汉语复句研究》，其实内容很有限，遗留问题很多。且不说汉语包括现代汉语和古代汉语，现代汉语包括共同语和方言，这本书只是把精力放在现代汉语共同语的复句研究上面。就是现代汉语共同语里的某些很普通的现象，我也还没有作出甚至还没有能力作出让自己满意的回答。比方说，在“更—还—也”这组词中，“更”表递进，“也”表并列，“还”是表递进还是表并列?“我想写点东西，还想早点发表出来。”这里的“还”似表递进。“今天到会的有市长、副市长，有各大工厂的厂长、副厂长，还有几个劳动模范。”这里的“还”似表并列。到底情况如何?“还”字的面貌怎样才能描写得全面而准确?又比方说，“无论”“不论”和“不管”，这三个词有没有什么不同?如果完全相同，为什么它们都能存活，都有很高的使用频率?如果不完全相同，它们的不同之处到底表现在哪些方面?我跟我的学生李宇明教授谈心。我说：“宇明啊，我怎么越研究越糊涂哇?”宇明说：“邢老师，您这是高级的糊涂!”宇明很会说话，回答得很巧妙，然而，再高级的糊涂毕竟也还是糊涂!晏殊《玉楼春》中有两句话，我改换了其中的两个字，说成：“天涯地角有穷时，只有学问无尽处!”这大概能表明自己现今的心绪。
